period,value,value-units
2022-03-28,242348,megawatthours
2022-03-27,217347,megawatthours
2022-03-26,222447,megawatthours
2022-03-25,245555,megawatthours
2022-03-24,250895,megawatthours
2022-03-23,249453,megawatthours
2022-03-22,247514,megawatthours
2022-03-21,237597,megawatthours
2022-03-20,209872,megawatthours
2022-03-19,237544,megawatthours
2022-03-18,242930,megawatthours
2022-03-17,249724,megawatthours
2022-03-16,245445,megawatthours
2022-03-15,254996,megawatthours
2022-03-14,241219,megawatthours
2022-03-13,204276,megawatthours
2022-03-12,221495,megawatthours
2022-03-11,242648,megawatthours
2022-03-10,243101,megawatthours
2022-03-09,243414,megawatthours
2022-03-08,247253,megawatthours
2022-03-07,247281,megawatthours
2022-03-06,225469,megawatthours
2022-03-05,239035,megawatthours
2022-03-04,257888,megawatthours
2022-03-03,263052,megawatthours
2022-03-02,249048,megawatthours
2022-03-01,248371,megawatthours
2022-02-28,245821,megawatthours
2022-02-27,220307,megawatthours
2022-02-26,249685,megawatthours
2022-02-25,265467,megawatthours
2022-02-24,273279,megawatthours
2022-02-23,274654,megawatthours
2022-02-22,270412,megawatthours
2022-02-21,243756,megawatthours
2022-02-20,224918,megawatthours
2022-02-19,228865,megawatthours
2022-02-18,249501,megawatthours
2022-02-17,250441,megawatthours
2022-02-16,252687,megawatthours
2022-02-15,253149,megawatthours
2022-02-14,249606,megawatthours
2022-02-13,221208,megawatthours
2022-02-12,229084,megawatthours
2022-02-11,247720,megawatthours
2022-02-10,252152,megawatthours
2022-02-09,256815,megawatthours
2022-02-08,254590,megawatthours
2022-02-07,255434,megawatthours
2022-02-06,229821,megawatthours
2022-02-05,241257,megawatthours
2022-02-04,258810,megawatthours
2022-02-03,264531,megawatthours
2022-02-02,259304,megawatthours
2022-02-01,263041,megawatthours
2022-01-31,270093,megawatthours
2022-01-30,239759,megawatthours
2022-01-29,246881,megawatthours
2022-01-28,264010,megawatthours
2022-01-27,263131,megawatthours
2022-01-26,262044,megawatthours
2022-01-25,260185,megawatthours
2022-01-24,256967,megawatthours
2022-01-23,233564,megawatthours
2022-01-22,235829,megawatthours
2022-01-21,257567,megawatthours
2022-01-20,257096,megawatthours
2022-01-19,257711,megawatthours
2022-01-18,257949,megawatthours
2022-01-17,255610,megawatthours
2022-01-16,235878,megawatthours
2022-01-15,249605,megawatthours
2022-01-14,261373,megawatthours
2022-01-13,263127,megawatthours
2022-01-12,259949,megawatthours
2022-01-11,261117,megawatthours
2022-01-10,260159,megawatthours
2022-01-09,242634,megawatthours
2022-01-08,249972,megawatthours
2022-01-07,268854,megawatthours
2022-01-06,264876,megawatthours
2022-01-05,251817,megawatthours
2022-01-04,264269,megawatthours
2022-01-03,273241,megawatthours
2022-01-02,256038,megawatthours
2022-01-01,249179,megawatthours
2021-12-31,257249,megawatthours
2021-12-30,261590,megawatthours
2021-12-29,275926,megawatthours
2021-12-28,275020,megawatthours
2021-12-27,268510,megawatthours
2021-12-26,261444,megawatthours
2021-12-25,257872,megawatthours
2021-12-24,256313,megawatthours
2021-12-23,271249,megawatthours
2021-12-22,283212,megawatthours
2021-12-21,283155,megawatthours
2021-12-20,292030,megawatthours
2021-12-19,280318,megawatthours
2021-12-18,280208,megawatthours
2021-12-17,287674,megawatthours
2021-12-16,286248,megawatthours
2021-12-15,293055,megawatthours
2021-12-14,290883,megawatthours
2021-12-13,290195,megawatthours
2021-12-12,266859,megawatthours
2021-12-11,259990,megawatthours
2021-12-10,272616,megawatthours
2021-12-09,274833,megawatthours
2021-12-08,280174,megawatthours
2021-12-07,271059,megawatthours
2021-12-06,279065,megawatthours
2021-12-05,252399,megawatthours
2021-12-04,253141,megawatthours
2021-12-03,262256,megawatthours
2021-12-02,261568,megawatthours
2021-12-01,259144,megawatthours
2021-11-30,259255,megawatthours
2021-11-29,255665,megawatthours
2021-11-28,228716,megawatthours
2021-11-27,229812,megawatthours
2021-11-26,229439,megawatthours
2021-11-25,229905,megawatthours
2021-11-24,256242,megawatthours
2021-11-23,258365,megawatthours
2021-11-22,252621,megawatthours
2021-11-21,234972,megawatthours
2021-11-20,243242,megawatthours
2021-11-19,258890,megawatthours
2021-11-18,260978,megawatthours
2021-11-17,256936,megawatthours
2021-11-16,259514,megawatthours
2021-11-15,262780,megawatthours
2021-11-14,236926,megawatthours
2021-11-13,239988,megawatthours
2021-11-12,256699,megawatthours
2021-11-11,256603,megawatthours
2021-11-10,259899,megawatthours
2021-11-09,264464,megawatthours
2021-11-08,256024,megawatthours
2021-11-07,240751,megawatthours
2021-11-06,240405,megawatthours
2021-11-05,251817,megawatthours
2021-11-04,254763,megawatthours
2021-11-03,250621,megawatthours
2021-11-02,262560,megawatthours
2021-11-01,267402,megawatthours
2021-10-31,239821,megawatthours
2021-10-30,246675,megawatthours
2021-10-29,260798,megawatthours
2021-10-28,262500,megawatthours
2021-10-27,262048,megawatthours
2021-10-26,260165,megawatthours
2021-10-25,250258,megawatthours
2021-10-24,249261,megawatthours
2021-10-23,243410,megawatthours
2021-10-22,263205,megawatthours
2021-10-21,272482,megawatthours
2021-10-20,270146,megawatthours
2021-10-19,259909,megawatthours
2021-10-18,258069,megawatthours
2021-10-17,234568,megawatthours
2021-10-16,242718,megawatthours
2021-10-15,263238,megawatthours
2021-10-14,262036,megawatthours
2021-10-13,262223,megawatthours
2021-10-12,252089,megawatthours
2021-10-11,243805,megawatthours
2021-10-10,229797,megawatthours
2021-10-09,238546,megawatthours
2021-10-08,255778,megawatthours
2021-10-07,265697,megawatthours
2021-10-06,271376,megawatthours
2021-10-05,276295,megawatthours
2021-10-04,286805,megawatthours
